Time: 2025-09-23T20:21:57.837Z | Method: POST | URL: /AdminLogin | IP: ::1 | Status: 200 | Duration: 289ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.134Z | Method: GET | URL: /NoticeList/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 217ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.167Z | Method: GET | URL: /SclassList/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 224ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.168Z | Method: GET | URL: /Teachers/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 223ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.364Z | Method: GET | URL: /Students/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 429ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.380Z | Method: GET | URL: /Teachers/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 208ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.350Z | Method: GET | URL: /NoticeList/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 210ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.377Z | Method: GET | URL: /SclassList/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 207ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-09-23T20:21:58.781Z | Method: GET | URL: /Students/68d2f1b50aba5b717482dabc | IP: ::1 | Status: 200 | Duration: 413ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
Time: 2025-10-22T02:37:01.492Z | Method: POST | URL: /AdminLogin | IP: ::1 | Status: 200 | Duration: 158ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0
Time: 2025-10-22T02:37:27.351Z | Method: POST | URL: /AdminLogin | IP: ::1 | Status: 200 | Duration: 137ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0
Time: 2025-10-22T02:37:54.563Z | Method: POST | URL: /AdminReg | IP: ::1 | Status: 200 | Duration: 304ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0
Time: 2025-10-22T02:38:43.259Z | Method: POST | URL: /AdminLogin | IP: ::1 | Status: 200 | Duration: 139ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0
Time: 2025-10-22T02:39:20.538Z | Method: POST | URL: /AdminLogin | IP: ::1 | Status: 200 | Duration: 137ms | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0
